date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Tue Oct 25 2016,New York Knicks,88,Cleveland Cavaliers,117,20562,Quicken Loans Arena
Tue Oct 25 2016,Utah Jazz,104,Portland Trail Blazers,113,19446,Moda Center
Tue Oct 25 2016,San Antonio Spurs,129,Golden State Warriors,100,19596,Oracle Arena
Wed Oct 26 2016,Dallas Mavericks,121,Indiana Pacers,130,17923,Bankers Life Fieldhouse
Wed Oct 26 2016,Miami Heat,108,Orlando Magic,96,19298,Amway Center
Wed Oct 26 2016,Detroit Pistons,91,Toronto Raptors,109,19800,Air Canada Centre
Wed Oct 26 2016,Brooklyn Nets,117,Boston Celtics,122,18624,TD Garden
Wed Oct 26 2016,Charlotte Hornets,107,Milwaukee Bucks,96,18717,BMO Harris Bradley Center
Wed Oct 26 2016,Denver Nuggets,107,New Orleans Pelicans,102,15869,Smoothie King Center
Wed Oct 26 2016,Minnesota Timberwolves,98,Memphis Grizzlies,102,18119,FedEx Forum
Wed Oct 26 2016,Oklahoma City Thunder,103,Philadelphia 76ers,97,20487,Wells Fargo Center
Wed Oct 26 2016,Sacramento Kings,113,Phoenix Suns,94,18055,Talking Stick Resort Arena
Wed Oct 26 2016,Houston Rockets,114,Los Angeles Lakers,120,18997,STAPLES Center
Thu Oct 27 2016,Washington Wizards,99,Atlanta Hawks,114,19049,Philips Arena
Thu Oct 27 2016,Boston Celtics,99,Chicago Bulls,105,21501,United Center
Thu Oct 27 2016,Los Angeles Clippers,114,Portland Trail Blazers,106,19500,Moda Center
Thu Oct 27 2016,San Antonio Spurs,102,Sacramento Kings,94,17608,Golden 1 Center
Fri Oct 28 2016,Cleveland Cavaliers,94,Toronto Raptors,91,19800,Air Canada Centre
Fri Oct 28 2016,Indiana Pacers,94,Brooklyn Nets,103,17732,Barclays Center
Fri Oct 28 2016,Orlando Magic,82,Detroit Pistons,108,19122,The Palace of Auburn Hills
Fri Oct 28 2016,Phoenix Suns,110,Oklahoma City Thunder,113,18203,Chesapeake Energy Arena
Fri Oct 28 2016,Charlotte Hornets,97,Miami Heat,91,19600,AmericanAirlines Arena
Fri Oct 28 2016,Houston Rockets,106,Dallas Mavericks,98,20163,American Airlines Center
Fri Oct 28 2016,Los Angeles Lakers,89,Utah Jazz,96,19911,Vivint Smart Home Arena
Fri Oct 28 2016,Golden State Warriors,122,New Orleans Pelicans,114,18217,Smoothie King Center
Sat Oct 29 2016,Atlanta Hawks,104,Philadelphia 76ers,72,16312,Wells Fargo Center
Sat Oct 29 2016,Boston Celtics,104,Charlotte Hornets,98,18708,Spectrum Center
Sat Oct 29 2016,Orlando Magic,99,Cleveland Cavaliers,105,20562,Quicken Loans Arena
Sat Oct 29 2016,Memphis Grizzlies,104,New York Knicks,111,19812,Madison Square Garden (IV)
Sat Oct 29 2016,New Orleans Pelicans,79,San Antonio Spurs,98,18418,AT&T Center
Sat Oct 29 2016,Brooklyn Nets,108,Milwaukee Bucks,110,12570,BMO Harris Bradley Center
Sat Oct 29 2016,Indiana Pacers,101,Chicago Bulls,118,21373,United Center
Sat Oct 29 2016,Portland Trail Blazers,115,Denver Nuggets,113,18055,Pepsi Center
Sat Oct 29 2016,Minnesota Timberwolves,103,Sacramento Kings,106,17608,Golden 1 Center
Sun Oct 30 2016,Utah Jazz,75,Los Angeles Clippers,88,19060,STAPLES Center
Sun Oct 30 2016,Milwaukee Bucks,83,Detroit Pistons,98,15161,The Palace of Auburn Hills
Sun Oct 30 2016,San Antonio Spurs,106,Miami Heat,99,19678,AmericanAirlines Arena
Sun Oct 30 2016,Golden State Warriors,106,Phoenix Suns,100,17011,Talking Stick Resort Arena
Sun Oct 30 2016,Los Angeles Lakers,96,Oklahoma City Thunder,113,18203,Chesapeake Energy Arena
Sun Oct 30 2016,Dallas Mavericks,92,Houston Rockets,93,18055,Toyota Center
Sun Oct 30 2016,Washington Wizards,103,Memphis Grizzlies,112,15573,FedEx Forum
Mon Oct 31 2016,Sacramento Kings,95,Atlanta Hawks,106,12501,Philips Arena
Mon Oct 31 2016,Chicago Bulls,118,Brooklyn Nets,88,15842,Barclays Center
Mon Oct 31 2016,Denver Nuggets,102,Toronto Raptors,105,19800,Air Canada Centre
Mon Oct 31 2016,Phoenix Suns,98,Los Angeles Clippers,116,19060,STAPLES Center
Tue Nov 1 2016,Houston Rockets,120,Cleveland Cavaliers,128,20562,Quicken Loans Arena
Tue Nov 1 2016,Los Angeles Lakers,108,Indiana Pacers,115,15348,Bankers Life Fieldhouse
Tue Nov 1 2016,Orlando Magic,103,Philadelphia 76ers,101,12529,Wells Fargo Center
Tue Nov 1 2016,New York Knicks,89,Detroit Pistons,102,13087,The Palace of Auburn Hills
Tue Nov 1 2016,Sacramento Kings,96,Miami Heat,108,19612,AmericanAirlines Arena
Tue Nov 1 2016,Memphis Grizzlies,80,Minnesota Timberwolves,116,14774,Target Center
Tue Nov 1 2016,Milwaukee Bucks,117,New Orleans Pelicans,113,15515,Smoothie King Center
Tue Nov 1 2016,Utah Jazz,106,San Antonio Spurs,91,18418,AT&T Center
Tue Nov 1 2016,Golden State Warriors,127,Portland Trail Blazers,104,19393,Moda Center
Wed Nov 2 2016,Philadelphia 76ers,93,Charlotte Hornets,109,15275,Spectrum Center
Wed Nov 2 2016,Toronto Raptors,113,Washington Wizards,103,19581,Verizon Center
Wed Nov 2 2016,Los Angeles Lakers,123,Atlanta Hawks,116,13800,Philips Arena
Wed Nov 2 2016,Detroit Pistons,101,Brooklyn Nets,109,13650,Barclays Center
Wed Nov 2 2016,Houston Rockets,118,New York Knicks,99,19812,Madison Square Garden (IV)
Wed Nov 2 2016,Chicago Bulls,100,Boston Celtics,107,18624,TD Garden
Wed Nov 2 2016,New Orleans Pelicans,83,Memphis Grizzlies,89,15881,FedEx Forum
Wed Nov 2 2016,Dallas Mavericks,81,Utah Jazz,97,19318,Vivint Smart Home Arena
Wed Nov 2 2016,Portland Trail Blazers,115,Phoenix Suns,118,17284,Talking Stick Resort Arena
Wed Nov 2 2016,Oklahoma City Thunder,85,Los Angeles Clippers,83,19060,STAPLES Center
Thu Nov 3 2016,Sacramento Kings,94,Orlando Magic,102,17026,Amway Center
Thu Nov 3 2016,Boston Celtics,122,Cleveland Cavaliers,128,20562,Quicken Loans Arena
Thu Nov 3 2016,Indiana Pacers,107,Milwaukee Bucks,125,11374,BMO Harris Bradley Center
Thu Nov 3 2016,Denver Nuggets,102,Minnesota Timberwolves,99,11219,Target Center
