date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Tue Oct 16 2018,Philadelphia 76ers,87,Boston Celtics,105,18624,TD Garden
Tue Oct 16 2018,Oklahoma City Thunder,100,Golden State Warriors,108,19596,Oracle Arena
Wed Oct 17 2018,Milwaukee Bucks,113,Charlotte Hornets,112,17889,Spectrum Center
Wed Oct 17 2018,Brooklyn Nets,100,Detroit Pistons,103,20332,Little Caesars Arena
Wed Oct 17 2018,Memphis Grizzlies,83,Indiana Pacers,111,17923,Bankers Life Fieldhouse
Wed Oct 17 2018,Miami Heat,101,Orlando Magic,104,19191,Amway Center
Wed Oct 17 2018,Atlanta Hawks,107,New York Knicks,126,18249,Madison Square Garden (IV)
Wed Oct 17 2018,Cleveland Cavaliers,104,Toronto Raptors,116,19915,Scotiabank Arena
Wed Oct 17 2018,New Orleans Pelicans,131,Houston Rockets,112,18055,Toyota Center
Wed Oct 17 2018,Minnesota Timberwolves,108,San Antonio Spurs,112,18354,AT&T Center
Wed Oct 17 2018,Utah Jazz,123,Sacramento Kings,117,17583,Golden 1 Center
Wed Oct 17 2018,Denver Nuggets,107,Los Angeles Clippers,98,19068,STAPLES Center
Wed Oct 17 2018,Dallas Mavericks,100,Phoenix Suns,121,18055,Talking Stick Resort Arena
Thu Oct 18 2018,Chicago Bulls,108,Philadelphia 76ers,127,20302,Wells Fargo Center
Thu Oct 18 2018,Miami Heat,113,Washington Wizards,112,20409,Capital One Arena
Thu Oct 18 2018,Los Angeles Lakers,119,Portland Trail Blazers,128,19996,Moda Center
Fri Oct 19 2018,Charlotte Hornets,120,Orlando Magic,88,17668,Amway Center
Fri Oct 19 2018,New York Knicks,105,Brooklyn Nets,107,17732,Barclays Center
Fri Oct 19 2018,Atlanta Hawks,117,Memphis Grizzlies,131,17019,FedEx Forum
Fri Oct 19 2018,Cleveland Cavaliers,123,Minnesota Timberwolves,131,18978,Target Center
Fri Oct 19 2018,Sacramento Kings,129,New Orleans Pelicans,149,18337,Smoothie King Center
Fri Oct 19 2018,Boston Celtics,101,Toronto Raptors,113,19800,Scotiabank Arena
Fri Oct 19 2018,Indiana Pacers,101,Milwaukee Bucks,118,17341,Fiserv Forum
Fri Oct 19 2018,Oklahoma City Thunder,92,Los Angeles Clippers,108,14816,STAPLES Center
Fri Oct 19 2018,Golden State Warriors,124,Utah Jazz,123,18306,Vivint Smart Home Arena
Sat Oct 20 2018,Brooklyn Nets,112,Indiana Pacers,132,17007,Bankers Life Fieldhouse
Sat Oct 20 2018,Toronto Raptors,117,Washington Wizards,113,16185,Capital One Arena
Sat Oct 20 2018,Boston Celtics,103,New York Knicks,101,19427,Madison Square Garden (IV)
Sat Oct 20 2018,Orlando Magic,115,Philadelphia 76ers,116,20300,Wells Fargo Center
Sat Oct 20 2018,Detroit Pistons,118,Chicago Bulls,116,21289,United Center
Sat Oct 20 2018,Charlotte Hornets,113,Miami Heat,112,19600,AmericanAirlines Arena
Sat Oct 20 2018,Minnesota Timberwolves,136,Dallas Mavericks,140,20205,American Airlines Center
Sat Oct 20 2018,Phoenix Suns,91,Denver Nuggets,119,19592,Pepsi Center
Sat Oct 20 2018,San Antonio Spurs,108,Portland Trail Blazers,121,19461,Moda Center
Sat Oct 20 2018,Houston Rockets,124,Los Angeles Lakers,115,18997,STAPLES Center
Sun Oct 21 2018,Atlanta Hawks,133,Cleveland Cavaliers,111,19432,Quicken Loans Arena
Sun Oct 21 2018,Sacramento Kings,131,Oklahoma City Thunder,120,18203,Chesapeake Energy Arena
Sun Oct 21 2018,Golden State Warriors,98,Denver Nuggets,100,19520,Pepsi Center
Sun Oct 21 2018,Houston Rockets,112,Los Angeles Clippers,115,16149,STAPLES Center
Mon Oct 22 2018,Orlando Magic,93,Boston Celtics,90,18624,TD Garden
Mon Oct 22 2018,Charlotte Hornets,106,Toronto Raptors,127,19800,Scotiabank Arena
Mon Oct 22 2018,New York Knicks,113,Milwaukee Bucks,124,16228,Fiserv Forum
Mon Oct 22 2018,Indiana Pacers,91,Minnesota Timberwolves,101,10371,Target Center
Mon Oct 22 2018,Chicago Bulls,109,Dallas Mavericks,115,19291,American Airlines Center
Mon Oct 22 2018,Memphis Grizzlies,92,Utah Jazz,84,18306,Vivint Smart Home Arena
Mon Oct 22 2018,Washington Wizards,125,Portland Trail Blazers,124,19187,Moda Center
Mon Oct 22 2018,Phoenix Suns,103,Golden State Warriors,123,19596,Oracle Arena
Mon Oct 22 2018,San Antonio Spurs,143,Los Angeles Lakers,142,18997,STAPLES Center
Tue Oct 23 2018,Philadelphia 76ers,132,Detroit Pistons,133,14418,Little Caesars Arena
Tue Oct 23 2018,Los Angeles Clippers,109,New Orleans Pelicans,116,14625,Smoothie King Center
Tue Oct 23 2018,Sacramento Kings,112,Denver Nuggets,126,13214,Pepsi Center
Wed Oct 24 2018,Dallas Mavericks,104,Atlanta Hawks,111,16705,State Farm Arena
Wed Oct 24 2018,Brooklyn Nets,102,Cleveland Cavaliers,86,19432,Quicken Loans Arena
Wed Oct 24 2018,New York Knicks,87,Miami Heat,110,19600,AmericanAirlines Arena
Wed Oct 24 2018,Minnesota Timberwolves,105,Toronto Raptors,112,19800,Scotiabank Arena
Wed Oct 24 2018,Charlotte Hornets,110,Chicago Bulls,112,19170,United Center
Wed Oct 24 2018,Utah Jazz,100,Houston Rockets,89,18055,Toyota Center
Wed Oct 24 2018,Indiana Pacers,116,San Antonio Spurs,96,18354,AT&T Center
Wed Oct 24 2018,Philadelphia 76ers,108,Milwaukee Bucks,123,17341,Fiserv Forum
Wed Oct 24 2018,Los Angeles Lakers,131,Phoenix Suns,113,18055,Talking Stick Resort Arena
Wed Oct 24 2018,Memphis Grizzlies,92,Sacramento Kings,97,14198,Golden 1 Center
Wed Oct 24 2018,Washington Wizards,122,Golden State Warriors,144,19596,Oracle Arena
Thu Oct 25 2018,Cleveland Cavaliers,103,Detroit Pistons,110,15896,Little Caesars Arena
