date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Tue Oct 17 2017,Boston Celtics,99,Cleveland Cavaliers,102,20562,Quicken Loans Arena
Tue Oct 17 2017,Houston Rockets,122,Golden State Warriors,121,19596,Oracle Arena
Wed Oct 18 2017,Charlotte Hornets,90,Detroit Pistons,102,20491,Little Caesars Arena
Wed Oct 18 2017,Brooklyn Nets,131,Indiana Pacers,140,15008,Bankers Life Fieldhouse
Wed Oct 18 2017,Miami Heat,109,Orlando Magic,116,18846,Amway Center
Wed Oct 18 2017,Philadelphia 76ers,115,Washington Wizards,120,20356,Capital One Arena
Wed Oct 18 2017,Milwaukee Bucks,108,Boston Celtics,100,18624,TD Garden
Wed Oct 18 2017,New Orleans Pelicans,91,Memphis Grizzlies,103,17794,FedEx Forum
Wed Oct 18 2017,Atlanta Hawks,117,Dallas Mavericks,111,19709,American Airlines Center
Wed Oct 18 2017,Denver Nuggets,96,Utah Jazz,106,17588,Vivint Smart Home Arena
Wed Oct 18 2017,Minnesota Timberwolves,99,San Antonio Spurs,107,18418,AT&T Center
Wed Oct 18 2017,Portland Trail Blazers,124,Phoenix Suns,76,18055,Talking Stick Resort Arena
Wed Oct 18 2017,Houston Rockets,105,Sacramento Kings,100,17583,Golden 1 Center
Thu Oct 19 2017,Chicago Bulls,100,Toronto Raptors,117,19800,Air Canada Centre
Thu Oct 19 2017,New York Knicks,84,Oklahoma City Thunder,105,18203,Chesapeake Energy Arena
Thu Oct 19 2017,Los Angeles Clippers,108,Los Angeles Lakers,92,18997,STAPLES Center
Fri Oct 20 2017,Atlanta Hawks,91,Charlotte Hornets,109,18417,Spectrum Center
Fri Oct 20 2017,Portland Trail Blazers,114,Indiana Pacers,96,15325,Bankers Life Fieldhouse
Fri Oct 20 2017,Cleveland Cavaliers,116,Milwaukee Bucks,97,18717,BMO Harris Bradley Center
Fri Oct 20 2017,Boston Celtics,102,Philadelphia 76ers,92,20816,Wells Fargo Center
Fri Oct 20 2017,Detroit Pistons,111,Washington Wizards,115,16337,Capital One Arena
Fri Oct 20 2017,Orlando Magic,121,Brooklyn Nets,126,16144,Barclays Center
Fri Oct 20 2017,Utah Jazz,97,Minnesota Timberwolves,100,18978,Target Center
Fri Oct 20 2017,Sacramento Kings,93,Dallas Mavericks,88,19273,American Airlines Center
Fri Oct 20 2017,Golden State Warriors,128,New Orleans Pelicans,120,18171,Smoothie King Center
Fri Oct 20 2017,Los Angeles Lakers,132,Phoenix Suns,130,18055,Talking Stick Resort Arena
Sat Oct 21 2017,Philadelphia 76ers,94,Toronto Raptors,128,19800,Air Canada Centre
Sat Oct 21 2017,San Antonio Spurs,87,Chicago Bulls,77,21640,United Center
Sat Oct 21 2017,Orlando Magic,114,Cleveland Cavaliers,93,20562,Quicken Loans Arena
Sat Oct 21 2017,Dallas Mavericks,91,Houston Rockets,107,18055,Toyota Center
Sat Oct 21 2017,Golden State Warriors,101,Memphis Grizzlies,111,17794,FedEx Forum
Sat Oct 21 2017,Indiana Pacers,108,Miami Heat,112,19600,AmericanAirlines Arena
Sat Oct 21 2017,Detroit Pistons,111,New York Knicks,107,19812,Madison Square Garden (IV)
Sat Oct 21 2017,Portland Trail Blazers,110,Milwaukee Bucks,113,16211,BMO Harris Bradley Center
Sat Oct 21 2017,Sacramento Kings,79,Denver Nuggets,96,19520,Pepsi Center
Sat Oct 21 2017,Oklahoma City Thunder,87,Utah Jazz,96,18300,Vivint Smart Home Arena
Sat Oct 21 2017,Phoenix Suns,88,Los Angeles Clippers,130,19068,STAPLES Center
Sun Oct 22 2017,Atlanta Hawks,104,Brooklyn Nets,116,13917,Barclays Center
Sun Oct 22 2017,Minnesota Timberwolves,115,Oklahoma City Thunder,113,18203,Chesapeake Energy Arena
Sun Oct 22 2017,New Orleans Pelicans,119,Los Angeles Lakers,112,18997,STAPLES Center
Mon Oct 23 2017,Philadelphia 76ers,97,Detroit Pistons,86,13709,Little Caesars Arena
Mon Oct 23 2017,Atlanta Hawks,93,Miami Heat,104,19600,AmericanAirlines Arena
Mon Oct 23 2017,Memphis Grizzlies,98,Houston Rockets,90,17129,Toyota Center
Mon Oct 23 2017,Charlotte Hornets,94,Milwaukee Bucks,103,12887,BMO Harris Bradley Center
Mon Oct 23 2017,Golden State Warriors,133,Dallas Mavericks,103,19875,American Airlines Center
Mon Oct 23 2017,Toronto Raptors,97,San Antonio Spurs,101,18418,AT&T Center
Mon Oct 23 2017,Washington Wizards,109,Denver Nuggets,104,14294,Pepsi Center
Mon Oct 23 2017,Sacramento Kings,115,Phoenix Suns,117,14903,Talking Stick Resort Arena
Tue Oct 24 2017,Chicago Bulls,112,Cleveland Cavaliers,119,20562,Quicken Loans Arena
Tue Oct 24 2017,Brooklyn Nets,121,Orlando Magic,125,16015,Amway Center
Tue Oct 24 2017,New York Knicks,89,Boston Celtics,110,18624,TD Garden
Tue Oct 24 2017,Indiana Pacers,130,Minnesota Timberwolves,107,14353,Target Center
Tue Oct 24 2017,New Orleans Pelicans,93,Portland Trail Blazers,103,19446,Moda Center
Tue Oct 24 2017,Utah Jazz,84,Los Angeles Clippers,102,16607,STAPLES Center
Wed Oct 25 2017,Denver Nuggets,93,Charlotte Hornets,110,14253,Spectrum Center
Wed Oct 25 2017,Minnesota Timberwolves,101,Detroit Pistons,122,13790,Little Caesars Arena
Wed Oct 25 2017,Houston Rockets,105,Philadelphia 76ers,104,20682,Wells Fargo Center
Wed Oct 25 2017,Cleveland Cavaliers,107,Brooklyn Nets,112,17732,Barclays Center
Wed Oct 25 2017,San Antonio Spurs,117,Miami Heat,100,19600,AmericanAirlines Arena
Wed Oct 25 2017,Indiana Pacers,96,Oklahoma City Thunder,114,18203,Chesapeake Energy Arena
Wed Oct 25 2017,Memphis Grizzlies,94,Dallas Mavericks,103,19674,American Airlines Center
Wed Oct 25 2017,Utah Jazz,88,Phoenix Suns,97,16022,Talking Stick Resort Arena
Wed Oct 25 2017,Toronto Raptors,112,Golden State Warriors,117,19596,Oracle Arena
Wed Oct 25 2017,Washington Wizards,99,Los Angeles Lakers,102,18996,STAPLES Center
Thu Oct 26 2017,Atlanta Hawks,86,Chicago Bulls,91,21104,United Center
Thu Oct 26 2017,Dallas Mavericks,91,Memphis Grizzlies,96,15839,FedEx Forum
Thu Oct 26 2017,Boston Celtics,96,Milwaukee Bucks,89,11046,UW–Milwaukee Panther Arena
Thu Oct 26 2017,Los Angeles Clippers,104,Portland Trail Blazers,103,18694,Moda Center
Thu Oct 26 2017,New Orleans Pelicans,114,Sacramento Kings,106,17583,Golden 1 Center
Fri Oct 27 2017,Houston Rockets,109,Charlotte Hornets,93,17339,Spectrum Center
Fri Oct 27 2017,San Antonio Spurs,87,Orlando Magic,114,17337,Amway Center
Fri Oct 27 2017,Denver Nuggets,105,Atlanta Hawks,100,16220,Philips Arena
Fri Oct 27 2017,Brooklyn Nets,86,New York Knicks,107,19812,Madison Square Garden (IV)
Fri Oct 27 2017,Oklahoma City Thunder,116,Minnesota Timberwolves,119,17620,Target Center
Fri Oct 27 2017,Washington Wizards,117,Golden State Warriors,120,19596,Oracle Arena
Fri Oct 27 2017,Toronto Raptors,101,Los Angeles Lakers,92,17876,STAPLES Center
Sat Oct 28 2017,Cleveland Cavaliers,101,New Orleans Pelicans,123,18539,Smoothie King Center
Sat Oct 28 2017,Oklahoma City Thunder,101,Chicago Bulls,69,21706,United Center
Sat Oct 28 2017,Houston Rockets,89,Memphis Grizzlies,103,17033,FedEx Forum
Sat Oct 28 2017,Boston Celtics,96,Miami Heat,90,19600,AmericanAirlines Arena
Sat Oct 28 2017,Philadelphia 76ers,112,Dallas Mavericks,110,19567,American Airlines Center
Sat Oct 28 2017,Los Angeles Lakers,81,Utah Jazz,96,18306,Vivint Smart Home Arena
Sat Oct 28 2017,Phoenix Suns,107,Portland Trail Blazers,114,19343,Moda Center
